num_red_beginning,num_red_end_1,num_red_end_2,num_blue_end_1,num_blue_end_2,pct_end_red_1,pct_end_red_2,pct_end_blue_1,pct_end_blue_2
5,124,78,221,247,0.35428571428571426,0.22285714285714286,0.6314285714285715,0.7057142857142857
6,204,218,141,107,0.5828571428571429,0.6228571428571429,0.40285714285714286,0.3057142857142857
7,166,108,179,218,0.4742857142857143,0.30857142857142855,0.5114285714285715,0.6228571428571429
8,169,91,175,234,0.4828571428571429,0.26,0.5,0.6685714285714286
9,125,91,220,233,0.35714285714285715,0.26,0.6285714285714286,0.6657142857142857
10,152,221,193,105,0.4342857142857143,0.6314285714285715,0.5514285714285714,0.3
5,152,179,193,145,0.4342857142857143,0.5114285714285715,0.5514285714285714,0.4142857142857143
6,114,169,231,154,0.32571428571428573,0.4828571428571429,0.66,0.44
7,209,102,136,223,0.5971428571428572,0.2914285714285714,0.38857142857142857,0.6371428571428571
8,200,143,145,181,0.5714285714285714,0.4085714285714286,0.4142857142857143,0.5171428571428571
9,204,155,141,170,0.5828571428571429,0.44285714285714284,0.40285714285714286,0.4857142857142857
10,161,121,184,202,0.46,0.3457142857142857,0.5257142857142857,0.5771428571428572
5,166,52,179,274,0.4742857142857143,0.14857142857142858,0.5114285714285715,0.7828571428571428
6,187,168,157,158,0.5342857142857143,0.48,0.44857142857142857,0.4514285714285714
7,140,174,205,149,0.4,0.49714285714285716,0.5857142857142857,0.4257142857142857
8,100,206,245,118,0.2857142857142857,0.5885714285714285,0.7,0.33714285714285713
9,140,161,114,163,0.4,0.46,0.32571428571428573,0.4657142857142857
10,198,147,147,177,0.5657142857142857,0.42,0.42,0.5057142857142857
5,112,56,232,268,0.32,0.16,0.6628571428571428,0.7657142857142857
6,136,77,209,247,0.38857142857142857,0.22,0.5971428571428572,0.7057142857142857
7,161,71,184,253,0.46,0.20285714285714285,0.5257142857142857,0.7228571428571429
8,169,47,176,276,0.4828571428571429,0.13428571428571429,0.5028571428571429,0.7885714285714286
9,216,68,129,257,0.6171428571428571,0.19428571428571428,0.36857142857142855,0.7342857142857143
10,203,183,142,143,0.58,0.5228571428571429,0.4057142857142857,0.4085714285714286
5,149,220,196,104,0.4257142857142857,0.6285714285714286,0.56,0.29714285714285715
6,178,108,167,218,0.5085714285714286,0.30857142857142855,0.47714285714285715,0.6228571428571429
7,171,80,174,244,0.48857142857142855,0.22857142857142856,0.49714285714285716,0.6971428571428572
8,153,99,192,224,0.43714285714285717,0.28285714285714286,0.5485714285714286,0.64
9,224,104,121,221,0.64,0.29714285714285715,0.3457142857142857,0.6314285714285715
10,194,142,151,181,0.5542857142857143,0.4057142857142857,0.43142857142857144,0.5171428571428571
5,119,190,226,135,0.34,0.5428571428571428,0.6457142857142857,0.38571428571428573
6,113,28,231,298,0.32285714285714284,0.08,0.66,0.8514285714285714
7,161,231,183,94,0.46,0.66,0.5228571428571429,0.26857142857142857
8,244,138,101,187,0.6971428571428572,0.3942857142857143,0.2885714285714286,0.5342857142857143
9,143,209,202,114,0.4085714285714286,0.5971428571428572,0.5771428571428572,0.32571428571428573
10,123,149,222,175,0.3514285714285714,0.4257142857142857,0.6342857142857142,0.5
5,137,51,207,272,0.3914285714285714,0.1457142857142857,0.5914285714285714,0.7771428571428571
6,149,46,195,280,0.4257142857142857,0.13142857142857142,0.5571428571428572,0.8
7,132,169,210,154,0.37714285714285717,0.4828571428571429,0.6,0.44
8,181,162,164,163,0.5171428571428571,0.46285714285714286,0.4685714285714286,0.4657142857142857
9,204,213,141,112,0.5828571428571429,0.6085714285714285,0.40285714285714286,0.32
10,160,212,185,112,0.45714285714285713,0.6057142857142858,0.5285714285714286,0.32
5,162,128,183,195,0.46285714285714286,0.3657142857142857,0.5228571428571429,0.5571428571428572
6,145,109,199,215,0.4142857142857143,0.31142857142857144,0.5685714285714286,0.6142857142857143
7,189,151,156,174,0.54,0.43142857142857144,0.44571428571428573,0.49714285714285716
8,203,145,142,178,0.58,0.4142857142857143,0.4057142857142857,0.5085714285714286
9,217,123,128,203,0.62,0.3514285714285714,0.3657142857142857,0.58
10,235,92,110,235,0.6714285714285714,0.26285714285714284,0.3142857142857143,0.6714285714285714
5,117,63,228,261,0.3342857142857143,0.18,0.6514285714285715,0.7457142857142857
6,123,152,222,171,0.3514285714285714,0.4342857142857143,0.6342857142857142,0.48857142857142855
7,135,76,143,253,0.38571428571428573,0.21714285714285714,0.4085714285714286,0.7228571428571429
8,164,241,181,82,0.4685714285714286,0.6885714285714286,0.5171428571428571,0.2342857142857143
9,184,221,161,103,0.5257142857142857,0.6314285714285715,0.46,0.29428571428571426
10,140,117,205,207,0.4,0.3342857142857143,0.5857142857142857,0.5914285714285714
5,139,46,206,278,0.39714285714285713,0.13142857142857142,0.5885714285714285,0.7942857142857143
6,161,133,184,190,0.46,0.38,0.5257142857142857,0.5428571428571428
7,187,146,156,177,0.5342857142857143,0.41714285714285715,0.44571428571428573,0.5057142857142857
8,178,124,167,201,0.5085714285714286,0.35428571428571426,0.47714285714285715,0.5742857142857143
9,178,146,167,178,0.5085714285714286,0.41714285714285715,0.47714285714285715,0.5085714285714286
10,226,263,119,60,0.6457142857142857,0.7514285714285714,0.34,0.17142857142857143
5,132,118,212,205,0.37714285714285717,0.33714285714285713,0.6057142857142858,0.5857142857142857
6,150,164,195,160,0.42857142857142855,0.4685714285714286,0.5571428571428572,0.45714285714285713
7,144,112,119,211,0.4114285714285714,0.32,0.34,0.6028571428571429
8,134,216,211,107,0.38285714285714284,0.6171428571428571,0.6028571428571429,0.3057142857142857
9,243,214,101,111,0.6942857142857143,0.6114285714285714,0.2885714285714286,0.3171428571428571
10,128,222,217,102,0.3657142857142857,0.6342857142857142,0.62,0.2914285714285714
5,220,178,124,145,0.6285714285714286,0.5085714285714286,0.35428571428571426,0.4142857142857143
6,133,182,212,143,0.38,0.52,0.6057142857142858,0.4085714285714286
7,168,102,176,224,0.48,0.2914285714285714,0.5028571428571429,0.64
8,141,177,204,149,0.40285714285714286,0.5057142857142857,0.5828571428571429,0.4257142857142857
9,155,162,129,162,0.44285714285714284,0.46285714285714286,0.36857142857142855,0.46285714285714286
10,125,181,220,146,0.35714285714285715,0.5171428571428571,0.6285714285714286,0.41714285714285715
5,141,31,204,292,0.40285714285714286,0.08857142857142856,0.5828571428571429,0.8342857142857143
6,153,150,192,174,0.43714285714285717,0.42857142857142855,0.5485714285714286,0.49714285714285716
7,179,73,166,251,0.5114285714285715,0.20857142857142857,0.4742857142857143,0.7171428571428572
8,205,61,132,263,0.5857142857142857,0.1742857142857143,0.37714285714285717,0.7514285714285714
9,147,186,198,139,0.42,0.5314285714285715,0.5657142857142857,0.39714285714285713
10,178,199,166,125,0.5085714285714286,0.5685714285714286,0.4742857142857143,0.35714285714285715
5,181,66,164,258,0.5171428571428571,0.18857142857142858,0.4685714285714286,0.7371428571428571
6,166,113,179,210,0.4742857142857143,0.32285714285714284,0.5114285714285715,0.6
7,192,190,153,137,0.5485714285714286,0.5428571428571428,0.43714285714285717,0.3914285714285714
8,200,135,142,194,0.5714285714285714,0.38571428571428573,0.4057142857142857,0.5542857142857143
9,165,88,177,238,0.4714285714285714,0.25142857142857145,0.5057142857142857,0.68
10,171,171,174,154,0.48857142857142855,0.48857142857142855,0.49714285714285716,0.44
5,108,228,237,96,0.30857142857142855,0.6514285714285715,0.6771428571428572,0.2742857142857143
6,116,31,229,294,0.3314285714285714,0.08857142857142856,0.6542857142857142,0.84
7,149,194,196,129,0.4257142857142857,0.5542857142857143,0.56,0.36857142857142855
8,125,204,220,119,0.35714285714285715,0.5828571428571429,0.6285714285714286,0.34
9,221,214,124,110,0.6314285714285715,0.6114285714285714,0.35428571428571426,0.3142857142857143
10,124,192,221,134,0.35428571428571426,0.5485714285714286,0.6314285714285715,0.38285714285714284
5,181,101,164,222,0.5171428571428571,0.2885714285714286,0.4685714285714286,0.6342857142857142
6,150,182,195,141,0.42857142857142855,0.52,0.5571428571428572,0.40285714285714286
7,181,163,164,162,0.5171428571428571,0.4657142857142857,0.4685714285714286,0.46285714285714286
8,159,155,186,170,0.4542857142857143,0.44285714285714284,0.5314285714285715,0.4857142857142857
9,155,66,190,258,0.44285714285714284,0.18857142857142858,0.5428571428571428,0.7371428571428571
10,228,143,116,180,0.6514285714285715,0.4085714285714286,0.3314285714285714,0.5142857142857142
5,182,164,163,161,0.52,0.4685714285714286,0.4657142857142857,0.46
6,227,142,118,183,0.6485714285714286,0.4057142857142857,0.33714285714285713,0.5228571428571429
7,183,72,160,252,0.5228571428571429,0.2057142857142857,0.45714285714285713,0.72
8,165,137,180,188,0.4714285714285714,0.3914285714285714,0.5142857142857142,0.5371428571428571
9,114,159,231,166,0.32571428571428573,0.4542857142857143,0.66,0.4742857142857143
10,197,152,148,174,0.5628571428571428,0.4342857142857143,0.4228571428571429,0.49714285714285716
5,177,62,168,266,0.5057142857142857,0.17714285714285713,0.48,0.76
6,115,124,230,199,0.32857142857142857,0.35428571428571426,0.6571428571428571,0.5685714285714286
7,194,103,151,223,0.5542857142857143,0.29428571428571426,0.43142857142857144,0.6371428571428571
8,114,185,231,139,0.32571428571428573,0.5285714285714286,0.66,0.39714285714285713
9,199,134,146,193,0.5685714285714286,0.38285714285714284,0.41714285714285715,0.5514285714285714
10,140,107,205,220,0.4,0.3057142857142857,0.5857142857142857,0.6285714285714286
5,171,85,173,243,0.48857142857142855,0.24285714285714285,0.4942857142857143,0.6942857142857143
6,174,130,171,195,0.49714285714285716,0.37142857142857144,0.48857142857142855,0.5571428571428572
7,123,75,222,249,0.3514285714285714,0.21428571428571427,0.6342857142857142,0.7114285714285714
8,211,192,133,132,0.6028571428571429,0.5485714285714286,0.38,0.37714285714285717
9,128,108,217,215,0.3657142857142857,0.30857142857142855,0.62,0.6142857142857143
10,170,107,175,220,0.4857142857142857,0.3057142857142857,0.5,0.6285714285714286
5,116,27,229,299,0.3314285714285714,0.07714285714285714,0.6542857142857142,0.8542857142857143
6,113,137,232,187,0.32285714285714284,0.3914285714285714,0.6628571428571428,0.5342857142857143
7,142,111,203,213,0.4057142857142857,0.3171428571428571,0.58,0.6085714285714285
8,205,115,140,210,0.5857142857142857,0.32857142857142857,0.4,0.6
9,140,97,205,231,0.4,0.27714285714285714,0.5857142857142857,0.66
10,147,142,152,181,0.42,0.4057142857142857,0.4342857142857143,0.5171428571428571
